{60, 397, 60, 60, 3, 9, 0, -1}
{60, 457, 60, 60, 3, 1, 0, -1}
{0, 457, 60, 60, 3, 1, 0, -1}
{0, 517, 60, 60, 3, 1, 0, -1}
{0, 577, 60, 60, 3, 1, 0, -1}
{60, 577, 60, 60, 3, 1, 0, -1}
{120, 577, 60, 60, 3, 1, 0, -1}
{180, 577, 60, 60, 3, 1, 0, -1}
{240, 577, 60, 60, 3, 1, 0, -1}
{240, 517, 60, 60, 3, 1, 0, -1}
{240, 457, 60, 60, 3, 9, 0, -1}
{180, 457, 60, 60, 2, 9, 0, -1}
{180, 397, 60, 60, 1, 7, 0, -1}
{120, 397, 60, 60, 3, 9, 0, -1}
{0, 397, 60, 60, 3, 9, 0, -1}
{-60, 397, 60, 60, 3, 9, 0, -1}
{-60, 457, 60, 60, 3, 1, 0, -1}
{-60, 517, 60, 60, 3, 1, 0, -1}
{-60, 577, 60, 60, 3, 1, 0, -1}
{60, 637, 60, 60, 3, 1, 0, -1}
{120, 637, 60, 60, 3, 1, 0, -1}
{180, 637, 60, 60, 3, 1, 0, -1}
{300, 577, 60, 60, 3, 1, 0, -1}
{300, 517, 60, 60, 3, 1, 0, -1}
{60, 517, 60, 60, 3, 1, 0, -1}
{120, 517, 60, 60, 3, 1, 0, -1}
{180, 517, 60, 60, 3, 1, 0, -1}
{120, 457, 60, 60, 3, 1, 0, -1}
{-120, 457, 60, 60, 3, 1, 0, -1}
{-180, 457, 60, 60, 3, 1, 0, -1}
{-240, 457, 60, 60, 3, 1, 0, -1}
{-300, 517, 60, 60, 3, 1, 0, -1}
{-360, 517, 60, 60, 3, 1, 0, -1}
{-360, 577, 60, 60, 3, 1, 0, -1}
{-420, 577, 60, 60, 3, 1, 0, -1}
{-360, 637, 60, 60, 3, 1, 0, -1}
{-360, 697, 60, 60, 3, 7, 0, -1}
{-300, 697, 60, 60, 3, 7, 0, -1}
{-240, 697, 60, 60, 3, 7, 0, -1}
{-180, 697, 60, 60, 3, 7, 0, -1}
{-120, 697, 60, 60, 3, 7, 0, -1}
{-60, 637, 60, 60, 3, 1, 0, -1}
{0, 637, 60, 60, 3, 1, 0, -1}
{-120, 397, 60, 60, 2, 9, 0, -1}
{-120, 337, 60, 60, 1, 7, 0, -1}
{-180, 337, 60, 60, 3, 9, 0, -1}
{-240, 337, 60, 60, 3, 9, 0, -1}
{-300, 337, 60, 60, 3, 9, 0, -1}
{-360, 337, 60, 60, 0, 7, 0, -1}
{-360, 397, 60, 60, 4, 8, 0, -1}
{-360, 457, 60, 60, 4, 9, 0, -1}
{-300, 577, 60, 60, 3, 1, 0, -1}
{-240, 577, 60, 60, 3, 1, 0, -1}
{-180, 577, 60, 60, 3, 1, 0, -1}
